Reviewer Name,Review Title,Review Paragraph,Star Rating,Review Date
Nitin Singh,Great product,Great....,5,"Mar, 2020"
Flipkart Customer,Great product,It's another solid performer from the apple stable. The unpacking was made special by flipkart for the preordered ones. I don't want to elaborate as to not ruin the surprise for others. The phone performs effortlessly. Have not had any issues so far. Migrating from an earlier iPhone is quick and simple. Battery life is better than the earlier phones and the new home button beautifully engineered providing an enhanced user experience. I would definitely recommend this phone,5,"Oct, 2016"
Neeladri V,Great product,Nice product . u will feel the difference.,5,"Jul, 2020"
Kishore Gagan,Brilliant,Perfect mobile for iOS lovers,5,"Feb, 2020"
Flipkart Customer,Amazing service from Apple & Flipkart,"On Time Delivery Best Part Of Flipkart.

Amazing Deal as always with Flipkart.

Coming to iPhone 7. Really nice feel.

Apple has the best product they know what people want. All the features in one hand. Really a fan of apple.

Flipkart delivered what they promised.",5,"Oct, 2016"
Gaurav Paliwal,Awesome,Great,5,"May, 2020"
Umesh Yadav,Super!,Its been 2 months using iphone 7.. the phone is superb.. its really feel gr8 to have an iphone 7. Camera quality is awsome. Fast processor. The delivery was very good with perfect packing.,5,"Feb, 2017"
Flipkart Customer,Must buy!,Camera quality :fire::fire::fire::fire::fire:,5,"Jan, 2020"
Sameer Sharma,Terrific purchase,Got I phone 7 128 GB from Flipkart. My personal experience is really good with Flipkart. For genuine products only trust on Flipkart.... no snap deal no amazon....,5,"Jan, 2017"
Sudhanshu pathak,Super!,no words to say best phone used ever,5,"Dec, 2019"
Jagadeesh boobathy,Fabulous!,What a camera iPhone always great phone,5,"Oct, 2019"
Hemanta Sa,Worth every penny,Thank u Flipkart for your fast delivery. It is awesome and very very nice.I like this very much.,5,"Sep, 2019"
Sharukh Khan,Classy product,"Too good luv it:black_heart:
iPhone is only camera lovers :kiss_mark:",5,"Oct, 2019"
Gracie Grace,Pretty good,It was as expected :red_heart:,4,"Oct, 2019"
Ezzazuddin Huseni,Must buy!,"From last 5 years my younger brother was using iphone 4s and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.

this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.

Thanks you flipkart :smiling_face_with_heart-eyes:",5,"Oct, 2019"
Gautam Choudhary,Worth every penny,"Awesome Smartphone for iPhone lover..
I got it during The Big Billion Day Sale..
Camera Quality Awesome
Performance is Superb
Good Display
Beautiful Looking
Battery performs is minus point as per trend it is not as much sufficient but not too bad..
Really love it ?????
Thank you Flipkart..????",5,"Oct, 2019"
Anish Singh,Simply awesome,"My first iPhone :red_heart:
Got 3 days before expected delivery date. Thank you Flipkart.

Phone is looking so classy, handy & beautiful.
It's a black beauty. Sound & display quality is awesome .
For best music experience use your Apple headphones, which you will get with box.

Loved it :red_heart:",5,"Jul, 2020"
Flipkart Customer,Mind-blowing purchase,"it's my first iPhone
I love it :face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:",5,"Oct, 2019"
Aish Srivastava,Pretty good,Really an awesome phone delivered by Flipkart.. I m Happy with this.. Loved Iphone 7:red_heart: Go for it.!,4,"Oct, 2019"
Shushant Sharma,Nice product,The product is good but battery is not longer,4,"Aug, 2020"
Swapnil Joshi,Highly recommended,superb product...i liked it very much :smiling_face_with_smiling_eyes:,5,"Dec, 2018"
Madhavray Gachchhar,Simply awesome,"Great product...Awsome....Apple killed it all other players like always they do....You can feel the difference just by holding it in you plam...


After using it for almost 9 months, it feels like new till today...very satisfied with iphone...",5,"Oct, 2019"
suresh b,Pretty good,"excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .
Blindly go for it value for money .",4,"Nov, 2018"
Ram Yadav,Good choice,i love i phone 7 super quality,4,"Nov, 2019"
Tushar Shubhra Pal,Perfect product!,"It's the best device I've ever had !!
Love to say that it's a device you would like to have...",5,"May, 2019"
Nijam K,Perfect product!,Excellent phone,5,"Oct, 2019"
Munna Kumar,Best in the market!,black beauty... everything is perfect...,5,"Apr, 2018"
Flipkart Customer,Excellent,Love Apple:red_heart:,5,"Oct, 2018"
Flipkart Customer,Just wow!,very nice :OK_hand: phone . Battery performance is very good.,5,"Nov, 2019"
Varundeep Singh,Must buy!,"Works perfectly fine even after 1.5 years.
Great camera.",5,"Aug, 2018"
Kalyan Bhowmick,Simply awesome,Superb,5,"Oct, 2019"
vishal kr KACHHAP,Classy product,IPHONE MILLION OF HEART,5,"Nov, 2019"
Gulistan Nausheen,Brilliant,awesome phone i love it :smiling_face_with_heart-eyes:,5,"Apr, 2019"
Flipkart Customer,Fabulous!,best,5,"Oct, 2018"
Inamul Hak,Great product,Good guilety,5,"Jan, 2020"
Flipkart Customer,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.",4,"Nov, 2019"
ABHISHEK Govind Rao,Wonderful,Best phone,4,"Sep, 2019"
SHAHUL P T,Brilliant,Excellent product from apple,5,"May, 2019"
K.S.RAJA,Simply awesome,nice products thanks for flipkart,5,"Nov, 2018"
CMR Mohan,Wonderful,excellent camera,5,"Feb, 2019"
Pia Lomdak,Perfect product!,"Very happy with the product as well as delivery
Worth money",5,"Sep, 2019"
Jay Nimavat,Best in the market!,awesome product... speedy delivery before time by flipkart ... very happy thank u flipkart,5,"Oct, 2019"
Sahil Nayak,Perfect product!,"What I say !!
Love with this phone.
Camera is just unbelievable.",5,"May, 2020"
Rupankar Mondal,Great product,Great photography :mobile_phone::mobile_phone:,5,"Sep, 2019"
Sathwik TR,Best in the market!,iPhone :smiling_face_with_heart-eyes::love-you_gesture: amazing,5,"Apr, 2020"
Uzman Manzuri,Highly recommended,"Amazing mobile
Awsm camera n
DAMN GREAT IPHONE IN THIS PRICE
THANK TO FLIPKART
(JP)",5,"Nov, 2019"
Sahana Naik,Super!,very happy,5,"Jan, 2020"
Mukul Sharma,Excellent,Nice camera that’s great shoot by iPhone 7 battery back up is ok not very good like mi but thnx and that’s is first iPhone 7 and thnx Flipkart,5,"Dec, 2019"
Suresh Rayudu,Simply awesome,Good Camera front and back.,5,"Oct, 2019"
Roshan Pais,Terrific purchase,"It is about 4 years old at 2020, but still has the latest update and works like a charm! Satisfied.",5,"May, 2020"
Dhruv bindal,Awesome,nice phone nd compact design it gets hot after some usage,5,"Oct, 2019"
Anushree Roy Adhikari,Value-for-money,Very satisfied.. Product received with in 2days..,4,"Dec, 2018"
PRAMEET PREMI,Awesome,This is my 2nd IPhone.Before I was using iPhone SE last 3years.Overall my opinion is in this range iPhone 7 is as well as iPhone SE . Not more different both iPhones.Only bettery back up not too good.Camera is also as well as iPhone se but external sound quality is impressive.Anyway I give to thanks Flipkart:smiling_face_with_smiling_eyes:,5,"Jan, 2020"
Abdul Haseeb Siddiqui,Best in the market!,Very good product thanks Flipkart,5,"Oct, 2019"
ANJAN KUMAR PRADHAN,Perfect product!,in one word... just awesome,5,"Oct, 2018"
Mayank Chaube,Perfect product!,"IMPORTANT NOTICE
If you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei number
Secondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify them

REST the phone is superb especially when you shift first time from Android or Windows
Fingerprint and Display attracted me the most:grinning_face_with_big_eyes::grinning_face_with_big_eyes:",5,"Oct, 2018"
AKASHPURI DATTATRAYPURI GOSAVI,Awesome,Expecticular Product... everything on the phone would be very good.... good for handaling and very slim pice..,5,"Nov, 2018"
Flipkart Customer,Must buy!,Awesome :rose::angry_face_with_horns::red_heart::smiling_face_with_hearts::smiling_face_with_heart-eyes:,5,"Apr, 2020"
Papu Sarma,Fabulous!,awesome phone. but delivery was too late.,5,"Oct, 2018"
Shankul Mhalsekar,Great product,"my first IPhone experience was awesome, thank you flipkart to make it come true, master piece I would say , great performance and loved the designed.",5,"Oct, 2019"
bala phanindrakumar,Really Nice,super build quality and camera was so good when compared to android budget mobiles but battry was not able to comee a one day use it is ok but u can mange by using battry savver and some tips for coming from android to ios this is the best mobie to this budget,4,"Mar, 2020"
Dev Soni,Bad quality,Battery bakwas h bilkul. Need 2-3 times full charge everyday.(after six months),2,"Jan, 2021"
Lalit Bahadur,Highly recommended,very nice,5,"Jan, 2020"
Narayana Nagavarapu,Best smart mobile,"The iPhone 7 is legitimately among the most interesting, powerful phone Apple has ever shipped. iOS 10 is excellent, the cameras are better, and the performance is phenomenal. And the batteries last longer.",5,"May, 2017"
Preeti Kureel,Pretty good,"good I phone 7 rose gold and best camera,best display, best quality,very good product",4,"Nov, 2018"
Naeem Akhtar,Great product,very nice phone. I'm very old Apple user that apple quality nothing comes any other brands. its too good really happy thanks filipkart,5,"Nov, 2019"
Vaibhav Bhosale,Just wow!,"Nice iPhone, i like iphone sync with mac book ....",5,"Nov, 2018"
Shariq Ahmad Beigh,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...

The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.
Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.",5,"Oct, 2016"
Priyanka Parkar,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.

Now to the iPhone.

Packaging - As always - neat & superior!

The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)

What's evidently different - the home button (the number 3 pressure press feels quite weird. Chose number 1 option) and yes of course the no-audio jack. So you do receive wired earphones better known as lightning compatible earphones. The end of your wired earphones connect to the slot of the lightning connector.",5,"Oct, 2016"
Rakesh Kumar,Value-for-money,everything is good best in handy mobile and you know how brilliant iphons camera . only problem is battery life,4,"Dec, 2020"
chandan kumar panda,Great product,"amazing phone
my first i phone 7
it is really nice and good performance
valueable money :winking_face: , it's run with IOS 13 that is osm
new features and amazing features 10/10 :smiling_face_with_hearts::smiling_face_with_heart-eyes:",5,"Nov, 2019"
Saket,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.
Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7.

Recently switched from android to IOS. So my review will be based on that.
Pros :
Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc.
While playing high end graphics game, the phone do get little bit heat up however as compared to android you will not observe too much of power drainage and also it cools down very quickly.
Played two three high end graphics game alternatively/ switching alternatively and i didn`t saw any lag.
All the games were running so smooth that i have never experienced in any of the android phones.

Cons:
Multi- tasking ease where i am currently struggling. May be just because i switched from android to IOS.",5,"Oct, 2016"
Shailendra Gupta,Wonderful,"Deliverd in 2 days very fast, very good camera and performance, and fells like very premium, and touch id
is super fast",5,"Feb, 2020"
KAPIL GOYAL,Awesome phone.. Worst delivery Service by Flip,Awesome phone.. m in love wid iphone.. really happy.. finally I got this after so long wait because the worst delivery service by flipkart.. worst experience ever,4,"Oct, 2016"
prince sharma,Worth every penny,I phone 7 is very good,5,"Nov, 2019"
Musharraf Jamil,Fabulous!,just woow,5,"Feb, 2019"
Akash Thakur,Excellent,Awesome picture :red_heart:,5,"Oct, 2020"
Ritesh Gupta,Classy product,well I got in 25k everything is good but not freely acces like Android & Im not addicted to phone so I'm loving it,5,"Nov, 2019"
Mudit Taneja,It was best decision to buy it from Flipkart !,"Flipkart delivery amazing !
Apple genuine profuct .",4,"Dec, 2017"
Arun Kumar,Awesome but don’t buy Matt black,"Pros:
Sleek and handy, no more chunks of heavy metal

Premium and stylish, Matt black looks royal.

Camera is stunning, you can't believe, it nurtured a hidden photographer in me to such an extent that I bought a dslr now, most of my pics are clicked on it. Camera is comparable to point and shoot standalones.

Battery life is more than sufficient.

iOS is more secure and reliable.

Sound is louder and crisper then 6 th generation

Aluminium 7000 series is more sturdy

Cons:

No 3.5 mm, but there is an adapter to bridge that

I my personal opinion screen should be 5 inch, reducing bezels.

Price.. but I got it in deal, cheapest ever, thanks to flipkart

Enjoying my iPhone . Go for it else for i8 if budget doesn't matter for u ;)


21.11.2017-colour review

I have rose gold 6s and mattblack iPhone 7, I noticed that Matt black is more prone to scratches and fading of color. Rose gold still rocks after an year.

my suggestion is to buy a matellic color rather Matt.


Please click helpful, if u like.",5,"Sep, 2017"
Bharatbhai parmar,Hated it!,when I Have Received Courier from flipkart and open it. iphone start completely but rear camera and flash light not working. so i call call center and they say go to service center and repairs it so i am going to 80km iphone service center and my new iphone sent to Banglore onwards replace back camara so dont buy iphone on flipkart:smirking_face::smirking_face::smirking_face:,1,"Dec, 2018"
Flipkart Customer,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience!

Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents were present inside the box! This was another great experience thanks to Flipkart and even though I was a little apprehensive about buying a phone online, this experience has made me feel a lot more confident about doing so! Would highly recommend!",5,"Mar, 2017"
Ranjit Pattanaik,Perfect product!,Phone is awesome,5,"Dec, 2018"
vinu,Absolute rubbish!,"I brought Product with No Speaker Functionality at all.When i ask For a Replacement Flipkart Rejected as it is not a physical Damage.

Is Speakers are Not Major Part of a Phone and Didn't not consider it as a Damage?
I wont buy anything in Flipkart From Now.

Thanks For Everything.",1,"Dec, 2017"
D.S. Meena,Good quality product,"The iPhone 7 is a very good choice for those people who want to use iPhone in budget.
iPhone 7 is a very good product from apple.
It have 4.7 inch display which is bigger than expected. The 3D Touch is very different from android and better than android.
It have a quite bigger bezel both in top and bottom but the display is perfect.
After all having very slim body, the speakers are loud and battery is 1960 mah which last a day through heavy usage.
Talking about the performance, iPhone 7 is on top of the line.
The A10 fusion chip is better than androids 8 chips. Talking about the Camera, Rear camera is 12MP which gives amazing picture But the Front Camera which is of 7MP gives Average photos and detail is quite moderate but cannot be consider bad.
It’s good in Good light and bad in low light. So make sure to take a selfie in a bright day
The IOS version 10 have nice user interface and the updates are timely updated.
If you like Gaming like Pubg, Fortnite, Call of Duty then this phone is not for you because of 1960mah battery .
I hope you like my review",4,"Dec, 2019"
Vivek Vj,Awesome,My first I phone:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_heart-eyes:,5,"Oct, 2019"
Hari Krishnaprasad,Super!,"Only one problem that i faced was flipkarts packing. The phones box was just covered by flipkarts plastic cover
Although phone is perfect but the adapter is having heating issue on most times
Headset is awesome
Battery backup is adjustable but not worth for rough use and gaming
Keep charger with you when travelling
Updated to ios 13 which is having some bugs such as overlay of texts sometimes on display
According to my personal experience iphone 7 is awesome",5,"Jan, 2020"
Nabin Chandra Naik,Worth every penny,My favorite mobile,5,"Oct, 2019"
aadit agrwall,Wonderful,Pubg is running excellent every thing is excellent but battery issue not quick charge and discharge soon only disappoint with battery,5,"Mar, 2020"
Mahfooz Aalam,Fabulous!,battery it's low but overall performance it's great.,5,"Oct, 2019"
Rohit Tewatia,Flipkart jindabaad,Excellent no issuse ......thanxu flipkart,5,"Apr, 2017"
Flipkart Customer,Perfect product!,Feeling soo Happy my fast iphone 7 Thank you Filipkart,5,"Jan, 2020"
Md Talib Raza,Nice product,Camera phone,4,"Dec, 2019"
Akash D,iphone 7 gold,its good product :),5,"Mar, 2017"
Flipkart Customer,Terrific,genuine smart phone great mat black look easy to hold everything is perfect in iphone 7 even this time peice also but batery time very less,5,"Oct, 2018"
Bajrang Kumar,Excellent,Awesome,5,"Mar, 2020"
Jeetendra Nath Panda,Terrific,Thanks to Flipkart for delivering the product very early. The product is really worth for the amount spent on it. It is perfectly fitting in hand and very comfortable to use. The camera is also good and genuine one. Battery is also average and not that bad as we expect it to be. Really enjoying using it.,5,"Oct, 2018"
Satheesh Vella,Worth every penny,iphone working very nice..and flipkart delivered with in two days,5,"Jan, 2017"
Mohit Jain,Highly recommended,100% genuine product.. fully satisfied with flipkart's service.. go for it guys..,5,"Mar, 2017"
Asgar Khan,Wonderful,every think is good but battery back one day work .I mean normal work 8hours workin and other game play pubg/ free fire only 6 mach play,4,"Dec, 2019"
Sumit Kumar,Nice,Good image quality but battery is not proper work,3,"Dec, 2019"
Alok Rajput,Excellent,iPhone 7 is very good built quality with great camera and and its got the update of IOS 13 which made it too much awsm loved it so muchh. but this time i am disappointed by delivery by flipkart my item was shipped by xpressbee they not give the delivery boy no. which is very difficult to contact with him. very bad experience by delivery this time but the phone is superb to use. i recommend to buy it.!:face_blowing_a_kiss::face_blowing_a_kiss:,5,"Dec, 2019"
jobin jobz,Best in the market!,"The iPhone 7 did offer up a brighter, more colorful screen, a waterproof design, dual speakers, and a boosted 12MP camera over the 6S it replaced, and Apple changed the home button from a clickable entity to one that responds to pressure, lost the headphone jack and included a 256GB storage model,While it may have been replaced by two separate generations of iPhones, with a lower price tag and the latest iOS 13 software on board the iPhone 7 is still very much a viable option for those looking for a slice of Apple's smartphone pie.",5,"Jan, 2020"
Flipkart Customer,Terrific purchase,gd,5,"Oct, 2019"
Basavaraja kotgi,Super!,Good mobile,5,"Feb, 2017"
Savy Singh,Fabulous!,good work,5,"Nov, 2019"
